"STATION","NAME","DATE","AWND","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10"
"USW00023047","AMARILLO AIRPORT, TX US","2015-03-15","8.28",,"0.00",,"0.0","0.0",,"71","31",,"  210","  190","17.0","23.0",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-03-16","15.66",,"0.00",,"0.0","0.0",,"82","39",,"  230","  220","28.0","34.0",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-03-17","15.21",,"0.08",,"0.0","0.0",,"58","39",,"   10","   10","32.0","40.9",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-03-18","7.38",,"0.06",,"0.0","0.0",,"62","39",,"  140","  160","16.1","21.9","    1",,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-03-19","11.41",,"0.04",,"0.0","0.0",,"53","42",,"   30","   30","21.9","28.0","    1",,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-03-20","5.82",,"0.00",,"0.0","0.0",,"60","38",,"  350","  350","15.0","19.0","    1",,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-03-21","7.61",,"0.00",,"0.0","0.0",,"67","39",,"  190","  200","18.1","23.0",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-03-22","8.72",,"0.00",,"0.0","0.0",,"81","41",,"  160","  150","16.1","21.0",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-03-23","9.17",,"0.00",,"0.0","0.0",,"81","45",,"  230","  230","21.0","28.0",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-03-24","12.08",,"0.00",,"0.0","0.0",,"74","46",,"  330","  330","25.1","34.0",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-03-25","20.36",,"0.00",,"0.0","0.0",,"73","39",,"  360","  360","40.9","53.0",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-03-26","9.84",,"0.00",,"0.0","0.0",,"65","32",,"  360","  360","28.0","33.1",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-03-27","8.28",,"0.00",,"0.0","0.0",,"72","34",,"  140","  140","15.0","18.1",,,,,,,,"    1",,
"USW00023047","AMARILLO AIRPORT, TX US","2015-03-28","8.95",,"0.00",,"0.0","0.0",,"84","40",,"  170","  170","18.1","21.9",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-03-29","16.55",,"0.00",,"0.0","0.0",,"75","47",,"  360","   10","36.9","45.0",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-03-30","12.08",,"0.00",,"0.0","0.0",,"79","44",,"  200","  210","23.0","30.0",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-03-31","8.72",,"0.00",,"0.0","0.0",,"87","47",,"  190","  190","21.9","32.0",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-04-01","13.42",,"0.00",,"0.0","0.0",,"87","48",,"  240","  230","25.1","31.1",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-04-02","13.42",,"0.00",,"0.0","0.0",,"84","47",,"  220","  230","30.0","36.9",,,,,,,,"    1",,
"USW00023047","AMARILLO AIRPORT, TX US","2015-04-03","19.69",,"0.00",,"0.0","0.0",,"67","36",,"  320","  320","40.0","53.0",,,,,,,,"    1",,
"USW00023047","AMARILLO AIRPORT, TX US","2015-04-04","15.66",,"0.00",,"0.0","0.0",,"65","34",,"  190","  190","29.1","34.0",,,,,,,,,,
